"region";"Elever per kommunal skole (antall) 2015";"Elever per kommunal skole (antall) 2016";"Elever per kommunal skole (antall) 2017";"Elever per kommunal skole (antall) 2018";"Elever per kommunal skole (antall) 2019";"Elever per kommunal skole (antall) 2020"
"0436 Tolga (-2019)";95.5;98.5;96.0;98.5;100.0;.
"0437 Tynset (-2019)";144.6;146.2;144.4;145.8;139.6;.
"0438 Alvdal (-2019)";106.7;103.3;102.3;106.0;157.0;.
"0439 Folldal (-2019)";182.0;174.0;164.0;168.0;163.0;.
"0441 Os (Hedmark) (-2019)";103.0;103.5;98.0;90.0;86.0;.
"0501 Lillehammer (-2019)";243.9;267.0;262.4;287.8;318.2;.
"0502 Gjøvik (-2019)";222.0;223.4;220.5;217.1;211.7;.
"0511 Dovre (-2019)";95.7;91.0;83.7;84.7;77.7;.
"0512 Lesja (-2019)";128.5;134.5;129.0;126.0;118.0;.
"0513 Skjåk (-2019)";84.7;82.7;77.0;215.0;202.0;.
"0514 Lom (-2019)";129.0;128.5;125.5;122.0;114.0;.
"0515 Vågå (-2019)";137.3;139.7;140.7;142.7;139.3;.
"0516 Nord-Fron (-2019)";126.8;124.4;123.0;121.8;122.0;.
"0517 Sel (-2019)";165.5;165.5;158.0;153.3;197.0;.
"0519 Sør-Fron (-2019)";120.7;121.7;124.0;120.0;120.0;.
"0520 Ringebu (-2019)";142.0;145.3;141.0;138.3;133.7;.
"0521 Øyer (-2019)";180.7;178.3;181.7;175.7;175.7;.
"0522 Gausdal (-2019)";139.4;170.8;169.5;165.3;159.3;.
"0528 Østre Toten (-2019)";173.4;173.0;168.7;171.7;173.4;.
"0529 Vestre Toten (-2019)";189.1;182.9;205.4;206.7;237.8;.
"0532 Jevnaker (-2019)";255.3;264.0;265.3;260.7;253.3;.
"0533 Lunner (-2019)";285.5;294.3;280.8;278.0;279.5;.
"0534 Gran (-2019)";136.2;162.7;162.9;159.9;157.4;.
"0536 Søndre Land (-2019)";157.3;150.5;136.8;178.3;175.7;.
"0538 Nordre Land (-2019)";235.3;235.7;238.0;236.3;228.3;.
"0540 Sør-Aurdal (-2019)";88.3;81.5;85.0;82.8;81.5;.
"0541 Etnedal (-2019)";164.0;167.0;156.0;155.0;150.0;.
"0542 Nord-Aurdal (-2019)";330.5;319.0;304.0;315.5;313.0;.
"0543 Vestre Slidre (-2019)";126.0;261.0;256.0;253.0;243.0;.
"0544 Øystre Slidre (-2019)";117.3;117.0;123.3;115.7;115.7;.
"0545 Vang (-2019)";164.0;187.0;191.0;194.0;198.0;.
